Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2008-01-17 03:37:00,3.1,19.63,99.56,558715,2170634,-,-,อ.แม่สรวย จ.เชียงราย,,2,PHA YAO,10,2008-01-17,16,2008-01-01
2008-03-02 03:23:00,2.5,18.994,99.971,602205,2100445,-,-,อ.ดอกคำใต้ จ.พะเยา,,1,PHA YAO,10,2008-03-02,61,
2008-08-29 23:13:00,2.7,18.681,99.868,591532,2065753,-,-,อ.งาว จ.ลำปาง,,1,PHA YAO,10,2008-08-29,241,
2009-05-08 19:08:00,1.7,18.586,99.48,550644,2055087,-,-,อ.แจ้ห่ม จ.ลำปาง,,1,PHA YAO,10,2009-05-08,493,
2009-06-25 00:08:43,2.7,19.51,99.57,559808,2157358,-,-,อ.แม่สรวย จ.เชียงราย,,1,PHA YAO,10,2009-06-25,541,
2009-08-09 22:48:28,2.0,19.33,99.53,555672,2137427,-,-,อ.เวียงป่าเป้า จ.เชียงราย,,1,PHA YAO,10,2009-08-09,586,
2009-10-16 12:10:32,2.5,19.36,99.54,556712,2140750,-,-,อ.เวียงป่าเป้า จ.เชียงราย,,1,PHA YAO,10,2009-10-16,654,
2010-02-23 18:23:49,2.3,19.5,99.58,560861,2156255,-,-,อ.เวียงป่าเป้า จ.เชียงราย,,1,PHA YAO,10,2010-02-23,784,
2010-04-16 13:13:02,1.7,18.84,99.95,600086,2083391,-,-,อ.งาว จ.ลำปาง,,1,PHA YAO,10,2010-04-16,836,
2010-07-15 13:02:45,2.6,19.53,99.65,568194,2159601,-,-,บ้านป่าหุ่ง อ.พาน จ.เชียงราย,,1,PHA YAO,10,2010-07-15,926,
2010-07-16 00:05:15,2.4,19.54,99.58,560846,2160682,-,-,ต.เจดีย์หลวง อ.แม่สรวย จ.เชียงราย,,1,PHA YAO,10,2010-07-16,927,
