Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2008-09-04 02:56:23,3.1,9.256,98.619,458152,1023177,-,-,จ.สุราษฏร์ธานี,,2,RANONG,11,2008-09-04,3,2008-09-01
2011-12-06 01:22:49,4.3,11.97,93.72,578389,1323338,-,9,หมู่เกาะอันดามัน,,3,RANONG,11,2011-12-06,1191,
2012-02-19 20:48:35,2.7,8.86,98.38,431826,979431,-,5,อ.ตะกั่วป่า จ.พังงา,Takuapa Phang-nga,1,RANONG,11,2012-02-19,1266,
2012-06-04 05:49:04,4.0,9.84,98.58,453947,1087751,-,8,อ.เมือง จ.ระนอง,Muang Ranong,3,RANONG,11,2012-06-04,1372,
2012-09-18 17:40:04,2.5,8.22,97.82,370026,908810,-,5,ทะเลอันดามัน,Andaman sea,1,RANONG,11,2012-09-18,1478,
2016-11-13 21:22:28,4.8,10.76,93.4,543732,1189471,10,26,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Island ,India Region",3,RANONG,11,2016-11-13,2995,
2020-01-25 17:41:54,2.1,8.853,98.384,432264,978656,1,10,อ.ตะกั่วป่า จ.พังงา,"Amphoe TakuaPa, Phangnga",1,RANONG,11,2020-01-25,4163,
2020-01-25 17:42:49,2.2,8.863,98.383,432156,979762,1,9,อ.ตะกั่วป่า จ.พังงา,"Amphoe TakuaPa, Phangnga",1,RANONG,11,2020-01-25,4163,
2020-02-06 11:10:32,2.8,11.46,99.41,544719,1266874,3,10,อ.บางสะพาน จ.ประจวบคีรีขันธ์,"Amphoe BangSaphan, PrachuapKhiriKhan",1,RANONG,11,2020-02-06,4175,
2020-07-19 12:48:37,4.0,11.366,93.292,531859,1256464,10,18,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Islands, India Region",3,RANONG,11,2020-07-19,4339,
2021-09-14 18:47:11,4.1,10.228,93.091,509966,1130622,78,42,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Island, India Region",3,RANONG,11,2021-09-14,4761,
2021-09-15 22:18:33,3.5,8.367,97.996,389455,925011,9,15,ทะเลอันดามัน,Andaman Sea,2,RANONG,11,2021-09-15,4762,
2022-01-04 15:02:45,4.2,11.978,93.768,583612,1324237,110,32,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Island, India Region",3,RANONG,11,2022-01-04,4873,
2022-01-08 05:42:01,4.5,10.956,93.226,524692,1211123,70,41,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Island, India Region",3,RANONG,11,2022-01-08,4877,
2022-04-15 22:23:07,4.0,11.387,93.642,570042,1258848,10,14,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Islands, India Region",3,RANONG,11,2022-04-15,4974,
2022-08-02 02:24:39,2.5,9.445,98.317,425021,1044124,1,14,ต.นาคา อ.สุขสำราญ จ.ระนอง,"Tambon Naka, Amphoe SukSamran, Ranong",1,RANONG,11,2022-08-02,5083,
2023-06-06 21:30:42,3.9,10.813,93.387,542304,1195329,10,5,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Islands, India Region",2,RANONG,11,2023-06-06,5391,
2024-01-10 02:23:51,4.4,11.748,93.747,581394,1298796,92,17,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Islands, India Region",3,RANONG,11,2024-01-10,5609,
2024-02-11 20:34:31,3.9,10.534,93.23,525164,1164463,70,11,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Islands, India Region",2,RANONG,11,2024-02-11,5641,
