Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2010-06-02 13:53:57,3.0,15.02,98.73,470975,1660555,-,-,ต.ชะแล อ.ทองผาภูมิ จ.กาญจนบุรี,,2,SI SAWAT,12,2010-06-02,1,2010-06-01
2010-06-11 00:37:41,3.1,14.59,99.34,536621,1613006,-,-,ต.หนองรี อ.บ่อพลอย จ.กาญจนบุรี,,2,SI SAWAT,12,2010-06-11,10,
2010-06-13 08:19:29,3.7,14.55,99.23,524777,1608567,-,-,ต.ด่านแม่แฉลบ อ.ศรีสวัสดิ์ จ.กาญจนบุรี,,2,SI SAWAT,12,2010-06-13,12,
2010-06-13 12:20:07,2.2,14.68,99.32,534453,1622957,-,-,ต.หนองปรือ อ.หนองปรือ จ.กาญจนบุรี,,1,SI SAWAT,12,2010-06-13,12,
2010-06-27 11:19:29,2.7,14.64,99.22,523690,1618520,-,-,บ้านนาสวน อ.ศรีสวัสดิ์ จ.กาญจนบุรี,,1,SI SAWAT,12,2010-06-27,26,
2010-07-05 06:19:00,2.7,15.18,98.93,492480,1678236,-,-,ต.ชะแล อ.ทองผาภูมิ จ.กาญจนบุรี,,1,SI SAWAT,12,2010-07-05,34,
2010-08-09 15:21:23,1.5,14.56,99.18,519390,1609668,-,5,ต.ด่านแม่แฉลบ อ.ศรีสวัสดิ์ จ.กาญจนบุรี,,1,SI SAWAT,12,2010-08-09,69,
2010-08-16 01:40:59,3.4,14.69,99.2,521532,1624048,-,7,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,,2,SI SAWAT,12,2010-08-16,76,
2010-08-18 20:30:46,2.8,14.91,98.97,496773,1648371,-,8,ต.ชะแล อ.ทองผาภูมิ จ.กาญจนบุรี,,1,SI SAWAT,12,2010-08-18,78,
2010-09-02 13:22:33,1.7,14.74,99.04,504305,1629569,-,6,ต.นาสวน อ.ศรีสวัสดิ์ จ.กาญจนบุรี,,1,SI SAWAT,12,2010-09-02,93,
2010-10-27 14:32:06,3.5,14.72,99.32,534446,1627381,-,6,ต.สมเด็จเจริญ อ.หนองปรือ จ.กาญจนบุรี,,2,SI SAWAT,12,2010-10-27,148,
2011-03-04 01:06:10,2.3,14.84,99.13,513986,1640633,-,7,บ้านนาสวน อำเภอศรีสวัสติ์,,1,SI SAWAT,12,2011-03-04,276,
2011-09-02 21:14:05,1.9,14.97,98.96,495699,1655008,-,5,ชะแล อ.ทองผาภูมิ จ.กาญจนบุรี,,1,SI SAWAT,12,2011-09-02,458,
2011-09-04 01:27:54,2.5,14.93,98.9,489245,1650586,-,7,ต.ชะแล อ.ทองผาภูมิ จ.กาญจนบุรี,,1,SI SAWAT,12,2011-09-04,460,
2012-03-03 23:33:13,3.0,14.99,98.69,466670,1657243,-,5,ต.ชะแล อ.ทองผาภูมิ จ. กาญจนบุรี,Thongphapoom Kanjanaburi ,2,SI SAWAT,12,2012-03-03,641,
2012-07-03 13:49:00,2.1,14.97,98.89,488172,1655010,-,5,อ.ทองผาภูมิ จ.กาญจนบุรี,thong pha phum. kanchanaburi,1,SI SAWAT,12,2012-07-03,763,
2012-09-28 13:04:02,2.9,14.88,98.92,491394,1645055,-,6,อ.ทองผาภูมิ จ.กาญจนบุรี,"Amphoe Thong Pha Phum, Kanchanaburi",1,SI SAWAT,12,2012-09-28,850,
2014-08-25 08:43:09,4.5,14.51,93.51,554952,1604192,157,12,"หมู่เกาะอันดามัน, อินเดีย","Andaman Islands, India Region",3,SI SAWAT,12,2014-08-25,1546,
2014-11-04 13:44:09,2.5,14.93,98.92,491396,1650585,5,5,อ.ทองผาภูมิ จ.กาญจนบุรี,"Amphoe Thong Pha Phum, Kanchanaburi",1,SI SAWAT,12,2014-11-04,1617,
2014-12-16 16:58:27,3.6,14.82,99.19,520443,1638426,10,8,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Si  Sawat,Kanchanaburi",2,SI SAWAT,12,2014-12-16,1659,
2015-07-17 11:22:08,2.4,14.92,99.19,520434,1649486,1,7,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Srisawat ,Kanchanaburi",1,SI SAWAT,12,2015-07-17,1872,
2015-07-17 13:21:34,2.2,14.93,99.18,519357,1650591,2,6,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Srisawat ,Kanchanaburi",1,SI SAWAT,12,2015-07-17,1872,
2015-07-18 11:32:13,2.4,14.93,99.18,519357,1650591,2,5,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Srisawat ,Kanchanaburi",1,SI SAWAT,12,2015-07-18,1873,
2015-08-11 09:58:16,2.0,14.98,99.17,518277,1656120,1,5,ต.เขาโจด อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Si Sawat,Kanchanaburi",1,SI SAWAT,12,2015-08-11,1897,
2015-09-09 18:46:20,2.4,14.93,99.17,518282,1650590,1,7,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Si Sawat, Kanchanaburi",1,SI SAWAT,12,2015-09-09,1926,
2015-09-27 03:48:22,2.0,16.1,99.03,503208,1779997,2,11,อ.อุ้มผาง จ.ตาก,"Umpang, Tak",1,SI SAWAT,12,2015-09-27,1944,
2015-09-27 11:46:30,1.7,14.96,99.13,513978,1653905,1,4,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Si Sawat, Kanchanaburi",1,SI SAWAT,12,2015-09-27,1944,
2015-09-27 11:49:26,1.8,14.93,99.13,513980,1650587,2,5,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Si Sawat, Kanchanaburi",1,SI SAWAT,12,2015-09-27,1944,
2015-10-25 06:35:28,2.4,14.88,99.13,513983,1645057,2,6,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Si Sawat, Kanchanaburi",1,SI SAWAT,12,2015-10-25,1972,
2016-10-18 23:53:10,2.8,16.0,98.68,465762,1768961,2,11,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-18,2331,
2016-10-19 08:03:00,2.8,16.02,98.66,463626,1771177,2,8,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-19,2332,
2016-10-20 03:29:38,3.6,15.94,98.71,468963,1762320,3,11,อ.อุ้มผาง จ.ตาก ,"Amphoe Umphang, Tak",2,SI SAWAT,12,2016-10-20,2333,
2016-10-20 03:45:53,3.2,16.01,98.77,475393,1770055,5,9,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",2,SI SAWAT,12,2016-10-20,2333,
2016-10-20 07:00:25,2.1,16.0,98.8,478601,1768945,5,7,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-20,2333,
2016-10-20 09:31:17,2.1,16.07,98.75,473261,1776694,5,6,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-20,2333,
2016-10-20 10:23:38,2.9,15.98,98.88,487159,1766726,12,5,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-20,2333,
2016-10-20 12:22:02,3.3,16.02,98.64,461486,1771181,3,12,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",2,SI SAWAT,12,2016-10-20,2333,
2016-10-20 14:09:26,1.6,16.12,98.75,473268,1782225,3,7,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-20,2333,
2016-10-20 21:48:07,2.4,16.08,98.71,468984,1777806,2,5,	อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-20,2333,
2016-10-20 22:08:44,1.7,16.12,98.89,488237,1782212,8,8,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-20,2333,
2016-10-20 22:21:50,1.6,16.25,98.85,483971,1796595,8,6,ประเทศพม่า,Myanmar,1,SI SAWAT,12,2016-10-20,2333,
2016-10-20 23:41:18,1.3,16.09,98.71,468986,1778912,6,6,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-20,2333,
2016-10-21 01:42:49,2.4,16.02,98.71,468975,1771169,3,6,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-21,2334,
2016-10-21 02:35:21,1.7,16.12,98.85,483960,1782215,7,7,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-21,2334,
2016-10-21 22:39:58,2.7,15.68,98.63,460350,1733573,7,5,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-21,2334,
2016-10-22 11:08:42,2.3,16.09,98.71,468986,1778912,2,9,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-22,2335,
2016-10-22 11:19:55,1.2,16.01,98.59,456135,1770084,2,6,ประเทศพม่า,Myanmar,1,SI SAWAT,12,2016-10-22,2335,
2016-10-22 18:06:40,1.9,16.06,98.69,466842,1775597,3,9,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak	",1,SI SAWAT,12,2016-10-22,2335,
2016-10-23 08:42:27,2.4,16.09,98.64,461500,1778924,1,21,ประเทศพม่า,Myanmar,1,SI SAWAT,12,2016-10-23,2336,
2016-10-23 08:46:05,2.4,16.07,98.64,461496,1776711,1,18,ประเทศพม่า,Myanmar,1,SI SAWAT,12,2016-10-23,2336,
2016-10-29 22:12:49,1.5,16.17,98.85,483964,1787745,5,8,ประเทศพม่า,Myanmar,1,SI SAWAT,12,2016-10-29,2342,
2016-10-29 22:50:12,1.3,16.17,98.82,480757,1787748,3,9,ประเทศพม่า,Myanmar,1,SI SAWAT,12,2016-10-29,2342,
2016-10-30 10:28:25,1.2,16.02,98.67,464696,1771175,5,7,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-30,2343,
2016-10-30 16:21:09,1.3,16.03,98.68,465767,1772280,2,8,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-10-30,2343,
2016-10-31 01:56:36,1.6,16.11,98.54,450810,1781157,7,7,ประเทศพม่า,Myanmar,1,SI SAWAT,12,2016-10-31,2344,
2016-10-31 07:58:09,1.1,16.2,98.78,476485,1791071,2,6,ประเทศพม่า,Myanmar,1,SI SAWAT,12,2016-10-31,2344,
2016-11-02 06:40:35,3.6,16.03,98.54,450790,1772308,10,8,ประเทศพม่า,Myanmar,2,SI SAWAT,12,2016-11-02,2346,
2016-11-02 06:48:49,1.9,16.02,98.8,478603,1771157,10,8,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-11-02,2346,
2016-11-03 09:54:51,1.5,16.13,98.84,482892,1783321,9,9,ประเทศพม่า,Myanmar,1,SI SAWAT,12,2016-11-03,2347,
2016-11-04 12:59:44,1.9,16.11,98.73,471128,1781121,6,11,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-11-04,2348,
2016-11-11 12:04:25,3.3,16.08,98.7,467915,1777807,6,9,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",2,SI SAWAT,12,2016-11-11,2355,
2016-11-21 22:13:31,1.6,16.24,98.81,479696,1795492,2,4,ประเทศพม่า,Myanmar,1,SI SAWAT,12,2016-11-21,2365,
2016-11-24 12:36:59,2.1,16.04,98.71,468978,1773381,5,8,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-11-24,2368,
2016-11-24 12:45:34,2.9,16.08,98.87,486096,1777788,1,12,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2016-11-24,2368,
2016-12-20 16:24:55,2.2,14.9,99.25,526889,1647280,2,10,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Si Sawat, Kanchanaburi",1,SI SAWAT,12,2016-12-20,2394,
2017-01-07 20:08:57,3.9,16.1,98.7,467918,1780020,5,7,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",2,SI SAWAT,12,2017-01-07,2412,
2017-01-07 20:19:29,1.4,16.03,98.63,460418,1772289,2,6,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2017-01-07,2412,
2017-01-07 20:30:14,2.4,15.98,98.78,476459,1766735,5,10,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2017-01-07,2412,
2017-01-08 02:46:22,1.3,16.11,98.68,465781,1781129,1,6,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2017-01-08,2413,
2017-01-08 18:25:02,1.3,16.1,98.69,466849,1780021,1,6,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2017-01-08,2413,
2017-02-18 16:46:55,1.5,16.1,98.73,471126,1780015,5,12,อ.อุ้มผาง จ.ตาก,"Amphoe Umphang, Tak",1,SI SAWAT,12,2017-02-18,2454,
2017-06-21 13:41:13,2.5,15.0,99.09,509675,1658327,1,9,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Srisawat, Kanchanaburi",1,SI SAWAT,12,2017-06-21,2577,
2017-07-31 10:02:02,2.1,14.53,99.29,531244,1606362,10,6,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,"Amphoe Srisawat, Kanchanaburi",1,SI SAWAT,12,2017-07-31,2617,
