Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2007-12-25 15:59:00,2.6,14.41,99.08,508623,1593072,-,-,อ.ศรีสวัสดิ์ จ.กาญจนบุรี,,1,THREE PAGODA,13,2007-12-25,24,2007-12-01
2010-07-23 21:54:01,2.0,14.23,99.05,505394,1573163,-,4,ต.ท่าเสา อ.ไทรโยค จ.กาญจนบุรี,,1,THREE PAGODA,13,2010-07-23,965,
2010-08-09 13:43:19,3.1,14.62,98.79,477384,1616307,-,11,ต.หินดาด อ.ทองผาภูมิ จ.กาญจนบุรี,,2,THREE PAGODA,13,2010-08-09,982,
2010-08-09 13:44:22,2.7,14.6,98.78,476304,1614096,-,7,ต.หินดาด อ.ทองผาภูมิ จ.กาญจนบุรี,,1,THREE PAGODA,13,2010-08-09,982,
2011-09-28 14:40:02,4.1,14.22,93.2,521577,1572066,-,9,บริเวณหมู่เกาะอันดามัน ,,3,THREE PAGODA,13,2011-09-28,1397,
2012-05-21 04:51:49,2.3,14.25,99.06,506472,1575376,-,4,อ.ไทรโยค จ.กาญจนบุรี,"Sai yok District,Kanchanaburi province",1,THREE PAGODA,13,2012-05-21,1633,
2012-11-26 23:13:49,4.9,14.04,93.44,547508,1552194,10,58,หมู่เกาะอันดามัน,"Andaman Islands, India Region",3,THREE PAGODA,13,2012-11-26,1822,
2014-09-08 13:11:06,4.6,14.47,93.16,517242,1599713,95,21,"หมู่เกาะอันดามัน, อินเดีย","Andaman Islands, India Region",3,THREE PAGODA,13,2014-09-08,2473,
2015-01-11 01:57:26,3.1,14.77,98.807,479229,1632896,2,9,อ.ทองผาภูมิ จ.กาญจนบุรี ,"Amphoe Thong Pha Phum ,Kanchanaburi",2,THREE PAGODA,13,2015-01-11,2598,
2015-07-14 14:25:12,4.8,15.01,98.47,443022,1659500,4,20,ต.ปรังเผล อ.สังขละบุรี จ.กาญจนบุรี,"Amphoe Sangkhla Buri ,Kanchanaburi",3,THREE PAGODA,13,2015-07-14,2782,
2015-07-14 14:39:01,2.0,15.07,98.5,446263,1666129,2,6,ต.ปรังเผล อ.สังขละบุรี จ.กาญจนบุรี,"Amphoe Sangkhla Buri ,Kanchanaburi",1,THREE PAGODA,13,2015-07-14,2782,
2015-08-20 12:10:24,4.5,15.0,98.42,437644,1658407,5,10,อ.สังขละบุรี จ.กาญจนบุรี ,"Amphoe Sangkhla Buri , Kanchanaburi",3,THREE PAGODA,13,2015-08-20,2819,
2015-08-20 12:58:42,2.1,15.04,98.47,443030,1662818,4,5,อ.สังขละบุรี จ.กาญจนบุรี ,"Amphoe Sangkhla Buri , Kanchanaburi",1,THREE PAGODA,13,2015-08-20,2819,
2015-11-26 11:44:03,3.0,15.38,98.25,419511,1700496,-,6,ประเทศพม่า,Myanmar,2,THREE PAGODA,13,2015-11-26,2917,
2016-01-10 05:11:52,2.3,14.08,99.47,550738,1556624,1,5,ต.หนองบัว อ.เมืองกาญจนบุรี จ. กาญจนบุรี,"Tambon Nongbua Amphoe Muang, Kanchanaburi",1,THREE PAGODA,13,2016-01-10,2962,
2017-08-28 00:17:29,2.6,14.05,99.41,544266,1553294,2,14,อ.เมืองกาญจนบุรี จ.กาญจนบุรี,"Amphoe MueangKanchanaburi, Kanchanaburi",1,THREE PAGODA,13,2017-08-28,3558,
2018-01-26 19:20:14,2.4,14.96,98.53,449461,1653955,5,7,อ.สังขละบุรี จ.กาญจนบุรี,"Amphoe SangkhlaBuri, Kanchanaburi",1,THREE PAGODA,13,2018-01-26,3709,
2018-01-31 15:10:31,3.2,15.1,98.17,410807,1669554,3,12,อ.สังขละบุรี จ.กาญจนบุรี,"Amphoe SangkhlaBuri, Kanchanaburi",2,THREE PAGODA,13,2018-01-31,3714,
2018-03-20 19:53:18,2.1,14.96,98.56,452687,1653948,1,9,อ.สังขละบุรี จ.กาญจนบุรี,"Amphoe SangkhlaBuri, Kanchanaburi",1,THREE PAGODA,13,2018-03-20,3762,
2018-08-13 16:07:10,4.5,14.18,93.08,508632,1567635,10,34,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Island, India Region",3,THREE PAGODA,13,2018-08-13,3908,
2020-08-31 10:40:33,2.4,15.46,98.21,415251,1709360,3,12,ประเทศเมียนมา,Myanmar,1,THREE PAGODA,13,2020-08-31,4657,
2021-04-03 03:34:09,2.1,14.627,98.481,444107,1617135,3,9,อ.ทองผาภูมิ จ.กาญจนบุรี,"Amphoe ThongPhaPhum, Kanchanaburi",1,THREE PAGODA,13,2021-04-03,4872,
2021-06-24 03:56:25,2.2,15.009,98.543,450870,1659372,1,6,อ.สังขละบุรี จ.กาญจนบุรี,"Amphoe SangkhlaBuri, Kanchanaburi",1,THREE PAGODA,13,2021-06-24,4954,
2021-09-11 03:20:19,4.9,14.231,93.056,506041,1573274,10,32,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Islands, India Region",3,THREE PAGODA,13,2021-09-11,5033,
2021-10-11 15:12:15,1.7,14.724,98.686,466199,1627823,2,9,ต.ท่าขนุน อ.ทองผาภูมิ จ.กาญจนบุรี,"Tambon Thakanun, Amphoe ThongPhaPhum, Kanchanaburi",1,THREE PAGODA,13,2021-10-11,5063,
2022-03-20 21:54:44,4.2,14.591,92.658,463163,1613117,10,10,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Islands, India Region",3,THREE PAGODA,13,2022-03-20,5223,
2022-04-22 03:51:35,4.4,14.303,93.45,548531,1581284,10,28,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Islands, India Region",3,THREE PAGODA,13,2022-04-22,5256,
2022-09-02 07:13:02,5.7,13.913,93.48,551855,1538156,10,58,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Islands, India Region",4,THREE PAGODA,13,2022-09-02,5389,
2022-12-31 20:56:56,1.5,15.537,98.246,419143,1717864,1,8,ประเทศเมียนมา,Myanmar,1,THREE PAGODA,13,2022-12-31,5509,
2023-06-26 12:53:08,4.5,14.145,93.214,523095,1563773,10,20,หมู่เกาะอันดามัน ประเทศอินเดีย,"Andaman Islands, India Region",3,THREE PAGODA,13,2023-06-26,5686,
2023-06-29 21:51:33,2.0,15.291,98.185,412498,1690676,1,8,ประเทศเมียนมา,Myanmar,1,THREE PAGODA,13,2023-06-29,5689,
2023-06-29 21:57:20,2.4,15.269,98.162,410019,1688252,4,9,ประเทศเมียนมา,Myanmar,1,THREE PAGODA,13,2023-06-29,5689,
2023-11-18 20:07:40,4.0,15.185,98.404,435979,1678875,6,12,ต.หนองลู อ.สังขละบุรี จ.กาญจนบุรี,"Tambon  Nong Lu, Amphoe SangkhlaBuri, Kanchanaburi",3,THREE PAGODA,13,2023-11-18,5831,
2024-03-07 19:26:28,1.9,14.975,98.567,453443,1655606,1,8,ต.ปรังเผล อ.สังขละบุรี จ.กาญจนบุรี,"Tambon Prang Phe, Amphoe SangkhlaBuri, Kanchanaburi",1,THREE PAGODA,13,2024-03-07,5941,
