Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2012-08-10 01:01:59,3.1,18.19,101.0,711532,2012359,-,13,อ.บ้านโคก จ.อุตรดิตถ์,"Ban-kok ,Uttaradit",2,UTTARADIT,14,2012-08-10,9,2012-08-01
2014-02-10 08:06:34,2.5,17.59,100.41,649619,1945382,-,5,ต.ผักขวง อ.ทองแสนขัน จ.อุตรดิตถ์,"Phak Khuang,Amphoe Thong Saen Khan,Uttaradit",1,UTTARADIT,14,2014-02-10,558,
2014-08-21 23:15:39,4.1,18.13,95.09,721129,2005823,17,12,ประเทศพม่า ,Myanmar,3,UTTARADIT,14,2014-08-21,750,
2014-09-23 11:56:06,2.3,17.5,100.47,656064,1935471,4,11,อ.ทองแสนขัน จ.อุตรดิตถ์,"Amphoe Thong Saen Khan ,Uttaradit",1,UTTARADIT,14,2014-09-23,783,
2014-10-27 14:33:47,4.0,17.62,94.47,655962,1948750,10,16,ประเทศพม่า,Myanmar,3,UTTARADIT,14,2014-10-27,817,
2015-07-04 21:51:36,1.9,17.96,100.9,701214,1986789,5,7,อ.ฟากท่า จ.อุตรดิตถ์,"Amphoe Fak Tha, Uttaradit",1,UTTARADIT,14,2015-07-04,1067,
2018-01-06 22:56:57,4.2,17.82,94.56,665329,1970960,10,17,ประเทศพม่า,Myanmar,3,UTTARADIT,14,2018-01-06,1984,
2020-02-11 17:52:44,4.5,17.476,94.189,626244,1932607,68,26,ประเทศพม่า,Myanmar,3,UTTARADIT,14,2020-02-11,2750,
2020-04-29 17:24:35,4.2,17.583,106.289,636783,1944516,10,26,ประเทศเวียดนาม,Vietnam,3,UTTARADIT,14,2020-04-29,2828,
2021-03-25 00:28:59,3.8,17.756,94.348,642908,1963703,84,23,ประเทศเมียนมา,Myanmar,2,UTTARADIT,14,2021-03-25,3158,
2021-08-21 16:18:49,3.6,17.778,106.546,663883,1966299,9,10,ประเทศเวียดนาม,Vietnam,2,UTTARADIT,14,2021-08-21,3307,
2021-11-02 12:43:11,1.9,17.819,100.864,697556,1971144,3,9,ต.เด่นเหล็ก อ.น้ำปาด จ.อุตรดิตถ์,"Tambon Den Lek, Amphoe NamPat, Uttaradit",1,UTTARADIT,14,2021-11-02,3380,
2022-06-01 16:43:18,4.9,17.498,94.346,642899,1935152,48,91,ประเทศเมียนมา,Myanmar,3,UTTARADIT,14,2022-06-01,3591,
2022-06-02 03:25:36,4.2,17.347,94.099,616769,1918276,15,15,ประเทศเมียนมา,Myanmar,3,UTTARADIT,14,2022-06-02,3592,
2022-06-08 17:57:07,3.6,17.416,94.454,654436,1926162,10,38,ใกล้ชายฝั่งประเทศเมียนมา,Near Coast of Myanmar,2,UTTARADIT,14,2022-06-08,3598,
2022-06-25 22:48:30,3.5,17.325,94.158,623053,1915879,10,27,ใกล้ชายฝั่งประเทศเมียนมา,Near Coast of Myanmar,2,UTTARADIT,14,2022-06-25,3615,
2022-10-20 17:31:44,3.9,17.81,94.337,641699,1969670,10,34,ใกล้ชายฝั่งประเทศเมียนมา,Near Coast of Myanmar,2,UTTARADIT,14,2022-10-20,3732,
2022-12-13 09:15:20,4.1,17.424,94.504,659741,1927088,10,22,ใกล้ชายฝั่งประเทศเมียนมา,Near Coast of Myanmar,3,UTTARADIT,14,2022-12-13,3786,
2023-07-19 18:20:06,4.0,17.467,94.132,620197,1931574,10,14,ประเทศเมียนมา,Myanmar,3,UTTARADIT,14,2023-07-19,4004,
2023-11-03 04:48:30,3.7,17.691,94.396,648051,1956547,10,14,ประเทศเมียนมา,Myanmar,2,UTTARADIT,14,2023-11-03,4111,
