Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2008-02-21 19:26:00,2.1,18.995,98.627,460740,2100315,-,-,อ.สะเมิง จ.เชียงใหม่,,1,WIANG HAENG,15,2008-02-21,20,2008-02-01
2009-05-19 16:36:28,2.2,19.157,98.671,465405,2118231,-,-,ต.ป่าแป อ.แม่แตง จ.เชียงใหม่,,1,WIANG HAENG,15,2009-05-19,473,
2009-05-27 11:44:28,2.0,19.54,98.55,452792,2160641,-,-,เขตรอยต่อ เชียงใหม่-แม่ฮ่องสอน ใกล้ อ.เวียงแหง จ.เชียงใหม่,,1,WIANG HAENG,15,2009-05-27,481,
2009-09-16 10:46:58,1.8,19.57,98.76,474827,2163916,-,-,อ.เวียงแหง จ.เชียงใหม่,,1,WIANG HAENG,15,2009-09-16,593,
2009-09-16 20:31:07,2.1,19.57,98.76,474827,2163916,-,-,อ.เวียงแหง จ.เชียงใหม่,,1,WIANG HAENG,15,2009-09-16,593,
2010-04-22 18:13:59,2.1,19.87,98.47,444513,2197182,-,-,ประเทศพม่า,,1,WIANG HAENG,15,2010-04-22,811,
2010-06-08 08:29:03,3.5,19.88,98.48,445563,2198286,-,-,ประเทศพม่า ,,2,WIANG HAENG,15,2010-06-08,858,
2010-06-08 08:49:00,3.0,19.88,98.48,445563,2198286,-,-,ประเทศพม่า,,2,WIANG HAENG,15,2010-06-08,858,
2010-06-08 08:52:00,2.8,19.88,98.48,445563,2198286,-,-,ประเทศพม่า,,1,WIANG HAENG,15,2010-06-08,858,
2010-06-12 05:22:49,3.4,19.89,98.51,448707,2199383,-,-,ประเทศพม่า,,2,WIANG HAENG,15,2010-06-12,862,
2010-06-29 06:48:00,3.1,19.87,98.49,446607,2197176,-,-,ประเทศพม่า,,2,WIANG HAENG,15,2010-06-29,879,
2011-03-14 20:08:01,2.0,19.67,98.51,448636,2175038,-,6,ชายแดนไทย-พม่า อำเภอปางมะผ้า,,1,WIANG HAENG,15,2011-03-14,1137,
2011-07-20 02:09:46,2.1,19.42,98.55,452757,2147362,-,7,ต.เวียงเหนือ อ.ปาย จ.แม่ฮ่องสอน,,1,WIANG HAENG,15,2011-07-20,1265,
2012-05-07 13:05:05,2.3,19.68,98.67,465410,2176104,-,7, อ.เวียงแหง จ.เชียงใหม่,"Wiang Haeng, Chiangmai",1,WIANG HAENG,15,2012-05-07,1557,
2012-07-03 17:39:07,1.5,19.61,98.63,461201,2168366,-,7,อ.เวียงแหง จ.เชียงใหม่,Wiang Haeng Chiang Mai,1,WIANG HAENG,15,2012-07-03,1614,
2013-01-31 20:08:56,1.5,19.3,98.56,453773,2134080,-,10,ต.แม่ฮี้ อ.ปาย จ.แม่ฮ่องสอน ,"Mae Hee, Pai, Mae Hong Sorn",1,WIANG HAENG,15,2013-01-31,1826,
2013-03-27 23:16:47,2.7,19.52,98.52,449638,2158436,-,17,อ.ปาย จ.แม่ฮ่องสอน,"Pai,Mae Hong Son",1,WIANG HAENG,15,2013-03-27,1881,
2013-03-27 23:18:08,2.9,19.47,98.52,449623,2152903,-,15,อ.ปาย จ.แม่ฮ่องสอน,"Pai,Mae Hong Son",1,WIANG HAENG,15,2013-03-27,1881,
2014-12-11 01:23:58,1.9,19.3,98.55,452722,2134083,2,13,อ.ปาย จ.แม่ฮ่องสอน,"Amphoe Pai, Mea Hong Son",1,WIANG HAENG,15,2014-12-11,2505,
2015-04-15 08:31:00,1.8,19.59,98.63,461196,2166153,1,11,อ.เวียงแหง จ. เชียงใหม่,Amphoe Wianghaeng,1,WIANG HAENG,15,2015-04-15,2630,
2015-07-28 16:41:50,1.8,19.21,98.56,453748,2124122,7,17,อ.ปาย จ.แม่ฮ่องสอน,"Amphoe Pai,Mae Hong Son",1,WIANG HAENG,15,2015-07-28,2734,
2015-11-01 13:19:56,2.0,18.99,98.64,462107,2099759,7,17,อ.สะเมิง จ.เชียงใหม่,"Amphoe Samoeng, Chiang Mai",1,WIANG HAENG,15,2015-11-01,2830,
2016-06-07 14:07:26,2.1,19.89,98.58,456035,2199363,1,6,พม่า,Myanmar,1,WIANG HAENG,15,2016-06-07,3049,
2017-03-10 02:58:42,2.2,19.51,98.68,466423,2157290,1,6,อ.เวียงแหง จ.เชียงใหม่,"Amphoe Wiang Haeng , Chiang Mai",1,WIANG HAENG,15,2017-03-10,3325,
2017-07-26 12:40:49,2.2,19.67,98.51,448636,2175038,1,8,อ.เวียงแหง จ.เชียงใหม่,"Amphoe Wiang Haeng, Chiang Mai",1,WIANG HAENG,15,2017-07-26,3463,
2017-12-14 22:04:39,1.5,19.47,98.52,449623,2152903,1,16,อ.ปาย จ.แม่ฮ่องสอน,"Amphoe Pai, MaeHongSon",1,WIANG HAENG,15,2017-12-14,3604,
2018-01-26 08:08:58,2.2,19.86,98.65,463355,2196027,6,11,ประเทศพม่า,Myanmar,1,WIANG HAENG,15,2018-01-26,3647,
2018-12-01 22:48:27,2.0,19.79,98.61,459149,2188290,2,8,ประเทศพม่า,Myanmar,1,WIANG HAENG,15,2018-12-01,3956,
2019-02-16 20:07:04,2.9,19.78,98.63,461242,2187178,1,14,ประเทศพม่า,Myanmar,1,WIANG HAENG,15,2019-02-16,4033,
2019-04-11 11:39:27,1.9,19.382,98.686,467027,2143125,3,8,อ.เชียงดาว จ.เชียงใหม่,"Amphoe ChiangDao, ChiangMai",1,WIANG HAENG,15,2019-04-11,4087,
2019-05-11 22:24:27,2.3,19.425,98.697,468191,2147881,1,21,อ.เชียงดาว จ.เชียงใหม่,"Amphoe ChiangDao, ChiangMai",1,WIANG HAENG,15,2019-05-11,4117,
2020-03-05 21:53:11,2.7,19.375,98.731,471751,2142343,5,23,อ.เชียงดาว จ.เชียงใหม่,"Amphoe ChiangDao, ChiangMai",1,WIANG HAENG,15,2020-03-05,4416,
2020-06-25 23:29:14,1.8,19.858,98.465,443985,2195856,1,20,ประเทศพม่า,Myanmar,1,WIANG HAENG,15,2020-06-25,4528,
2020-11-18 22:06:00,2.0,19.276,98.709,469423,2131392,2,14,อ.แม่แตง จ.เชียงใหม่,"Amphoe MaeTaeng, ChiangMai",1,WIANG HAENG,15,2020-11-18,4674,
2021-02-06 20:34:43,1.8,19.886,98.617,459907,2198911,1,13,ประเทศเมียนมา,Myanmar,1,WIANG HAENG,15,2021-02-06,4754,
2021-02-07 20:04:38,1.7,19.365,98.546,452321,2141277,1,16,อ.ปาย จ.แม่ฮ่องสอน,"Amphoe Pai, MaeHongSon",1,WIANG HAENG,15,2021-02-07,4755,
2021-08-27 07:58:31,2.0,19.625,98.647,462987,2170022,5,10,ต.แสนไห อ.เวียงแหง จ.เชียงใหม่,"Tambon sanhai, Amphoe WiangHaeng, ChiangMai",1,WIANG HAENG,15,2021-08-27,4956,
2021-08-27 18:38:32,1.7,19.376,98.545,452219,2142494,2,13,ต.เวียงเหนือ อ.ปาย จ.แม่ฮ่องสอน,"Tambon Wiang Nuea, Amphoe Pai, MaeHongSon",1,WIANG HAENG,15,2021-08-27,4956,
