Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2008-05-04 07:55:34,2.7,8.639,98.736,470954,954951,-,-,อ. ปลายพระยา จ. กระบี่,,1,KHLONG MARUI,1,2008-05-04,3,2008-05-01
2008-05-24 10:14:54,1.0,8.827,98.894,488343,975727,-,-, จ.สุราษฎร์ธานี,,1,KHLONG MARUI,1,2008-05-24,23,
2008-12-23 06:38:41,4.1,8.649,98.99,498899,956046,-,-,อ.พระแสง จ.สุราษฎร์ธานี,,3,KHLONG MARUI,1,2008-12-23,236,
2011-07-25 10:37:17,2.9,8.77,98.98,497800,969424,-,8,ตำบลบ้านเสด็จ อำเภอเคียนซา จังหวัดสุราษฎร์ธานี,,1,KHLONG MARUI,1,2011-07-25,1180,
2012-04-16 09:44:25,4.3,8.02,98.37,430576,886562,-,5,ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต,Talang Phuket,3,KHLONG MARUI,1,2012-04-16,1446,
2012-04-16 13:30:29,2.7,8.03,98.32,425068,887676,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-16,1446,
2012-04-16 14:17:39,2.6,8.01,98.34,427268,885461,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-16,1446,
2012-04-16 16:01:35,2.6,8.06,98.34,427277,890989,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-16,1446,
2012-04-16 16:03:00,2.7,8.03,98.3,422864,887680,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-16,1446,
2012-04-16 16:47:58,2.1,8.02,98.31,423964,886572,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-16,1446,
2012-04-16 18:00:42,2.2,8.0,98.36,429471,884352,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-16,1446,
2012-04-16 19:02:02,2.5,7.97,98.38,431670,881032,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-16,1446,
2012-04-17 01:31:47,2.3,8.02,98.34,427270,886567,-,5,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-17,1447,
2012-04-17 05:18:45,3.1,8.02,98.32,425066,886570,-,6,อ.ถลาง จ.ภูเก็ต,Talang Phuket,2,KHLONG MARUI,1,2012-04-17,1447,
2012-04-17 14:56:35,2.0,8.02,98.3,422862,886574,-,5,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-17,1447,
2012-04-17 17:49:23,2.6,8.02,98.33,426168,886569,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-17,1447,
2012-04-17 21:15:18,3.2,8.02,98.32,425066,886570,-,7,อ.ถลาง จ.ภูเก็ต,Talang Phuket,2,KHLONG MARUI,1,2012-04-17,1447,
2012-04-17 21:19:38,2.4,8.01,98.33,426166,885463,-,6,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-17,1447,
2012-04-18 12:48:04,2.3,8.02,98.32,425066,886570,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-18,1448,
2012-04-18 12:53:03,2.2,8.0,98.34,427266,884356,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-18,1448,
2012-04-18 13:39:18,2.7,8.03,98.33,426170,887674,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-18,1448,
2012-04-19 01:13:13,1.9,8.0,98.34,427266,884356,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-19,1449,
2012-04-19 10:14:01,2.2,8.01,98.35,428370,885459,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-19,1449,
2012-04-19 14:20:39,2.0,8.07,98.34,427279,892095,-,5,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-19,1449,
2012-04-19 19:43:41,3.2,8.01,98.32,425064,885465,-,6,อ.ถลาง จ.ภูเก็ต,Talang Phuket,2,KHLONG MARUI,1,2012-04-19,1449,
2012-04-20 02:57:00,2.6,8.01,98.34,427268,885461,-,3,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-20,1450,
2012-04-20 06:18:18,1.9,8.01,98.34,427268,885461,-,5,อ.ถลาง จ.ภูเก็ต,Talang Phuket,1,KHLONG MARUI,1,2012-04-20,1450,
2012-04-20 08:10:46,3.3,8.02,98.33,426168,886569,-,4,อ.ถลาง จ.ภูเก็ต,Talang Phuket,2,KHLONG MARUI,1,2012-04-20,1450,
