Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2009-08-07 05:03:35,3.7,17.71,98.19,414109,1958286,-,-,อ.อมก๋อย จ.เชียงใหม่,,2,MAE HONG SON,3,2009-08-07,6,2009-08-01
2009-12-20 14:34:00,2.5,18.76,97.91,385108,2074623,-,-,อ.ขุนยวม จ.แม่ฮ่องสอน,,1,MAE HONG SON,3,2009-12-20,141,
2010-01-31 20:18:06,1.4,19.5,97.9,384569,2156522,-,-,จ.แม่ฮ่องสอน,,1,MAE HONG SON,3,2010-01-31,183,
2010-03-09 04:54:26,2.9,19.17,97.92,386440,2119989,-,-,อ.เมือง จ.แม่ฮ่องสอน,,1,MAE HONG SON,3,2010-03-09,220,
2011-07-28 05:47:17,2.6,19.04,98.11,406347,2105490,-,11,อ.เมือง จ. แม่ฮ่องสอน,,1,MAE HONG SON,3,2011-07-28,726,
2011-07-31 17:34:17,1.7,19.05,97.97,391620,2106677,-,4,ต.ห้วยโป่ง อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน,,1,MAE HONG SON,3,2011-07-31,729,
2011-08-02 11:17:07,1.9,19.0,98.13,408429,2101053,-,7,ต.ห้วยโป่ง อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน,,1,MAE HONG SON,3,2011-08-02,731,
2011-08-04 01:04:09,2.2,19.52,98.06,401373,2158636,-,7,ต.ห้วยผา อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน,,1,MAE HONG SON,3,2011-08-04,733,
2011-09-03 01:19:44,2.3,19.13,98.09,404294,2115460,-,8,ต.ห้วยปูลิง อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน ,,1,MAE HONG SON,3,2011-09-03,763,
2011-09-04 17:06:00,3.0,19.16,98.08,403259,2118786,-,5,ต.ผาบ่อง อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน ,,2,MAE HONG SON,3,2011-09-04,764,
2011-09-10 21:23:56,1.8,19.16,98.09,404311,2118780,-,6,ต.ห้วยปูลิง อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน,,1,MAE HONG SON,3,2011-09-10,770,
2011-11-17 10:58:07,3.7,19.44,98.08,403424,2149771,-,6,ต.ห้วยผา อ.เมือง จ.แม่ฮ่องสอน,,2,MAE HONG SON,3,2011-11-17,838,
