Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2009-10-26 02:50:17,3.3,17.52,97.88,381110,1937431,-,-,พรมแดนไทย-พม่า,,2,MOEI,5,2009-10-26,25,2009-10-01
2010-01-29 16:31:44,2.9,17.7,97.68,360016,1957485,-,-,พรมแดนพม่า-ไทย,,1,MOEI,5,2010-01-29,120,
2010-08-01 18:06:29,2.5,17.4,98.13,407590,1924015,-,5,ต.แม่อุสุ อ.ท่าสองยาง จ.ตาก,,1,MOEI,5,2010-08-01,304,
2010-08-07 05:16:14,2.7,17.47,98.23,418243,1931714,-,8,ต.แม่สอง อ.ท่าสองยาง จ.ตาก,,1,MOEI,5,2010-08-07,310,
2011-10-10 04:00:34,3.1,17.1,98.42,438294,1890709,-,13,ต.ขะเนจื้อ อ.แม่ระมาด จ.ตาก,,2,MOEI,5,2011-10-10,739,
2011-12-04 06:10:06,2.7,17.19,98.54,451085,1900632,-,10,ต.แม่ตื่น อ.แม่ระมาด จ.ตาก,,1,MOEI,5,2011-12-04,794,
2011-12-08 05:38:22,1.8,17.47,98.23,418243,1931714,-,8,ต.แม่อุสุ อ.ท่าสองยาง จ.ตาก,,1,MOEI,5,2011-12-08,798,
2011-12-09 10:01:53,2.0,17.14,98.67,464899,1895072,-,9,ต.แม่ตื่น อ.แม่ระมาด จ.ตาก,,1,MOEI,5,2011-12-09,799,
2012-01-29 17:06:04,2.6,16.9,98.63,460594,1868529,-,17,อ.แม่ระมาด จ.ตาก,,1,MOEI,5,2012-01-29,850,
2012-01-29 17:12:29,2.5,16.82,98.36,431810,1859752,-,15,ประเทศพม่า,,1,MOEI,5,2012-01-29,850,
2012-01-29 23:03:40,1.9,16.9,98.7,468050,1868516,-,7,อ.แม่ระมาด จ.ตาก,,1,MOEI,5,2012-01-29,850,
2014-01-19 20:07:06,2.5,17.03,98.33,428693,1882995,-,15,ประเทศพม่า ,Myanmar,1,MOEI,5,2014-01-19,1571,
2014-03-25 23:16:39,3.6,17.39,98.0,393774,1922976,-,9,พรมแดนพม่า-ไทย,Myanmar-Thailand Border Region,2,MOEI,5,2014-03-25,1636,
2014-07-14 14:56:15,2.1,17.71,97.81,373811,1958500,8,11,ประเทศพม่า ,Myanmar,1,MOEI,5,2014-07-14,1747,
2014-08-02 06:47:36,2.4,17.25,98.43,439407,1907301,10,15,อ.แม่ระมาด จ.ตาก,"Amphoe Mae Ramat ,Tak",1,MOEI,5,2014-08-02,1766,
2015-03-10 22:37:04,2.8,17.09,98.24,419139,1889668,10,15,ประเทศพม่า,Myanmar,1,MOEI,5,2015-03-10,1986,
2015-04-02 04:19:34,2.4,17.86,97.7,362260,1975175,10,14,อ.สบเมย จ.แม่ฮ่องสอน,"Amphoe Sop Moei, Mae Hong Son ",1,MOEI,5,2015-04-02,2009,
2015-04-08 11:15:57,2.4,17.88,97.65,356978,1977426,10,11,ประเทศพม่า,Myanmar,1,MOEI,5,2015-04-08,2015,
2015-04-12 05:15:02,1.8,17.87,97.78,370745,1976225,2,8,อ.สบเมย จ.แม่ฮ่องสอน,"Amphoe Sop Moei, Mae Hong Son ",1,MOEI,5,2015-04-12,2019,
2015-05-04 15:00:11,2.6,17.63,97.96,389670,1949554,2,13,อ.ท่าสองยาง จ.ตาก ,"Amphoe Tha Song Yang, Tak",1,MOEI,5,2015-05-04,2041,
