Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2007-01-04 08:38:00,2.4,18.9,99.0,500000,2089762,-,-,อ.แม่ริม จ.เชียงใหม่,,1,MAE THA,6,2007-01-04,3,2007-01-01
2007-01-06 02:23:00,3.1,18.9,99.0,500000,2089762,-,-,อ.แม่ริม จ.เชียงใหม่,,2,MAE THA,6,2007-01-06,5,
2007-04-22 06:18:00,4.5,19.4,99.36,537798,2145126,-,-,อ.เวียงป่าเป้า จ.เชียงราย,,3,MAE THA,6,2007-04-22,111,
2007-06-19 05:06:00,4.5,18.9,99.0,500000,2089762,-,-,อ.แม่ริม จ.เชียงใหม่,,3,MAE THA,6,2007-06-19,169,
2007-11-13 13:27:00,2.6,19.36,99.2,521004,2140673,-,-,อ.พร้าว จ.เชียงใหม่,,1,MAE THA,6,2007-11-13,316,
2007-12-09 18:40:00,2.6,18.59,99.06,506330,2055463,-,-,อ.เมือง จ.ลำพูน,,1,MAE THA,6,2007-12-09,342,
2007-12-12 16:25:00,2.6,19.4,99.39,540948,2145133,-,-,อ.เวียงป่าเป้า จ.เชียงราย,,1,MAE THA,6,2007-12-12,345,
2008-01-05 04:59:00,1.9,18.94,99.09,509475,2094191,-,-,อ.สันทราย จ.เชียงใหม่,,1,MAE THA,6,2008-01-05,369,
2008-01-05 11:36:00,2.1,18.92,99.05,505265,2091976,-,-,อ.สันทราย จ.เชียงใหม่,,1,MAE THA,6,2008-01-05,369,
2008-01-05 11:50:00,2.2,18.93,99.06,506317,2093083,-,-,อ.สันทราย จ.เชียงใหม่,,1,MAE THA,6,2008-01-05,369,
2008-01-19 01:40:00,1.8,18.94,99.09,509475,2094191,-,-,อ.ดอยสะเก็ด จ.เชียงใหม่,,1,MAE THA,6,2008-01-19,383,
2008-01-25 08:06:00,1.9,18.77,99.09,509485,2075381,-,-,อ.สันกำแพง จ.เชียงใหม่,,1,MAE THA,6,2008-01-25,389,
2008-01-31 05:00:00,3.4,19.42,99.13,513647,2147305,-,-,อ.เชียงดาว จ.เชียงใหม่,,2,MAE THA,6,2008-01-31,395,
2008-03-11 15:39:00,2.8,19.389,99.337,535386,2143904,-,-,อ.เวียงป่าเป้า จ.เชียงราย,,1,MAE THA,6,2008-03-11,435,
2008-04-21 19:31:00,3.9,18.89,98.97,496840,2088656,-,-,อ.แม่ริม จ.เชียงใหม่,,2,MAE THA,6,2008-04-21,476,
2008-05-30 10:58:53,0.8,18.921,98.984,498315,2092086,-,-,จ.เชียงใหม่,,1,MAE THA,6,2008-05-30,515,
2008-06-07 08:17:18,2.6,19.222,99.376,539521,2125434,-,-,อ.เวียงป่าเป้า จ.เชียงราย,,1,MAE THA,6,2008-06-07,523,
2008-06-07 08:18:57,3.0,19.262,99.376,539511,2129860,-,-,อ.เวียงป่าเป้า จ.เชียงราย,,2,MAE THA,6,2008-06-07,523,
2008-06-07 11:52:03,2.4,19.292,99.36,537823,2133176,-,-,อ.เวียงป่าเป้า จ.เชียงราย,,1,MAE THA,6,2008-06-07,523,
2008-06-11 10:52:10,1.2,18.905,98.925,492101,2090317,-,-,จ.เชียงใหม่,,1,MAE THA,6,2008-06-11,527,
2008-08-07 12:05:27,2.5,18.632,98.874,486709,2060114,-,-,อ.สันป่าตอง จ.เชียงใหม่,,1,MAE THA,6,2008-08-07,584,
2008-08-20 15:58:32,2.6,19.286,99.26,527317,2132493,-,-,อ.พร้าว จ.เชียงใหม่,,1,MAE THA,6,2008-08-20,597,
2008-09-07 13:27:22,3.0,18.923,99.069,507265,2092309,-,-,อ.สันทราย จ.เชียงใหม่,,2,MAE THA,6,2008-09-07,615,
2008-09-12 02:49:00,2.9,18.69,98.839,483023,2066534,-,-,อ.หางดง จ.เชียงใหม่,,1,MAE THA,6,2008-09-12,620,
2008-09-24 18:39:44,2.3,19.262,99.252,526481,2129836,-,-,อ.พร้าว จ.เชียงใหม่,,1,MAE THA,6,2008-09-24,632,
2008-11-17 15:52:39,1.9,18.678,99.015,501581,2065199,-,-,อ.สารภี จ.เชียงใหม่,,1,MAE THA,6,2008-11-17,686,
2008-11-23 01:46:51,3.0,18.82,99.004,500421,2080911,-,-,อ.เมือง จ.เชียงใหม่,,2,MAE THA,6,2008-11-23,692,
2009-03-06 17:02:25,1.1,18.92,99.08,508424,2091977,-,-,อ.สันทราย จ.เชียงใหม่,,1,MAE THA,6,2009-03-06,795,
2009-03-10 07:11:35,2.1,18.99,99.07,507367,2099722,-,-,อ.สันทราย จ.เชียงใหม่,,1,MAE THA,6,2009-03-10,799,
2009-03-31 04:00:30,1.3,18.7,98.99,498945,2067633,-,-,อ.สารภี จ.เชียงใหม่,,1,MAE THA,6,2009-03-31,820,
2009-04-09 08:51:39,2.8,19.23,98.71,469519,2126302,-,-,อ.เชียงดาว จ.เชียงใหม่,,1,MAE THA,6,2009-04-09,829,
2009-04-21 15:56:16,1.7,18.95,99.03,503158,2095295,-,-,อ.สันทราย จ.เชียงใหม่,,1,MAE THA,6,2009-04-21,841,
2009-05-02 09:47:29,1.8,19.281,98.799,478880,2131932,-,-,อ.เชียงดาว จ.เชียงใหม่,,1,MAE THA,6,2009-05-02,852,
2009-05-09 00:23:23,1.5,19.012,99.118,512418,2102159,-,-,อ.สันทราย จ.เชียงใหม่,,1,MAE THA,6,2009-05-09,859,
2009-05-10 12:58:36,1.2,18.914,99.069,507265,2091313,-,-,อ.สันทราย จ.เชียงใหม่,,1,MAE THA,6,2009-05-10,860,
2009-06-28 06:10:09,2.4,19.34,99.23,524157,2138464,-,-,อ.พร้าว จ.เชียงใหม่,,1,MAE THA,6,2009-06-28,909,
2009-07-08 07:21:17,1.2,18.69,98.88,487346,2066531,-,-,อ.หางดง จ.เชียงใหม่,,1,MAE THA,6,2009-07-08,919,
2009-07-09 08:12:30,1.4,19.16,99.25,526287,2118550,-,-,อ.พร้าว จ.เชียงใหม่,,1,MAE THA,6,2009-07-09,920,
2009-07-14 19:28:45,1.1,18.9,99.13,513690,2089767,-,-,อ.ดอยสะเก็ด จ.เชียงใหม่,,1,MAE THA,6,2009-07-14,925,
2009-07-31 21:42:58,2.0,19.4,99.17,517849,2145096,-,-,อ.พร้าว จ.เชียงใหม่,,1,MAE THA,6,2009-07-31,942,
2009-08-08 17:13:44,2.4,18.68,98.88,487346,2065425,-,-,อ.หางดง จ.เชียงใหม่,,1,MAE THA,6,2009-08-08,950,
