Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2013-09-15 22:47:35,4.3,16.66,95.08,721838,1843097,-,16,ประเทศพม่า,Myanmar,3,PHETCHABUN,8,2013-09-15,14,2013-09-01
2015-05-19 21:59:24,2.8,17.15,101.05,718073,1897299,2,16,อ.นครไทย จ.พิษณุโลก,"Amphoe Nakhonthai,C.Phitsanulok",1,PHETCHABUN,8,2015-05-19,625,
2016-09-12 15:07:04,3.3,17.11,95.11,724506,1892940,9,7,ประเทศพม่า,Myanmar,2,PHETCHABUN,8,2016-09-12,1107,
2016-11-07 03:27:04,3.7,15.98,95.14,729030,1767900,10,9,ใกล้ชายฝั่งทางตอนใต้ประเทศพม่า,Near South Coast of Myanmar,2,PHETCHABUN,8,2016-11-07,1163,
2016-12-29 05:52:19,4.4,16.75,95.24,738797,1853244,164,15,ใกล้ชายฝั่งทางตอนใต้ของประเทศพม่า,Near South Coast of Myanmar,3,PHETCHABUN,8,2016-12-29,1215,
2017-03-30 10:34:18,4.8,15.56,95.07,721992,1721342,10,19,ประเทศพม่า,Myanmar,3,PHETCHABUN,8,2017-03-30,1306,
2017-04-28 16:24:42,3.5,16.87,95.32,747174,1866626,10,20,ประเทศพม่า,Myanmar,2,PHETCHABUN,8,2017-04-28,1335,
2017-09-11 13:56:01,4.2,17.18,95.16,729742,1900747,10,13,ประเทศพม่า,Myanmar,3,PHETCHABUN,8,2017-09-11,1471,
2017-10-15 17:43:26,3.7,16.79,95.077,721368,1857483,10,9,ใกล้ชายฝั่งทางตอนใต้ของประเทศพม่า,Near South Coast of Myanmar,2,PHETCHABUN,8,2017-10-15,1505,
2017-11-12 01:16:58,4.2,16.63,95.07,720805,1839766,72,12,ประเทศพม่า,Myanmar,3,PHETCHABUN,8,2017-11-12,1533,
2018-01-13 08:19:44,4.8,16.975,95.31,745972,1878237,10,13,ประเทศพม่า,Myanmar,3,PHETCHABUN,8,2018-01-13,1595,
2019-01-07 12:19:53,3.0,16.8,94.99,712081,1858495,10,7,ประเทศพม่า,Myanmar,2,PHETCHABUN,8,2019-01-07,1954,
2019-02-25 23:59:29,3.5,16.48,95.39,755152,1823541,10,19,ประเทศพม่า,Myanmar,2,PHETCHABUN,8,2019-02-25,2003,
2019-04-11 06:32:51,3.1,16.354,107.062,720264,1809209,13,7,ประเทศเวียดนาม,Vietnam,2,PHETCHABUN,8,2019-04-11,2048,
2019-07-23 01:11:37,3.8,15.887,95.15,730206,1757618,10,9,ประเทศพม่า,Near South Coast of Myanmar,2,PHETCHABUN,8,2019-07-23,2151,
2019-09-10 20:18:45,4.2,16.174,95.0,713833,1789222,10,21,ใกล้ชายฝั่งทางตอนใต้ของประเทศพม่า,Near South Coast of Myanmar,3,PHETCHABUN,8,2019-09-10,2200,
2020-04-20 05:19:13,4.5,17.311,95.142,727665,1915226,14,30,ประเทศพม่า,Myanmar,3,PHETCHABUN,8,2020-04-20,2423,
2020-12-23 06:14:30,3.8,16.938,95.193,733554,1873998,5,15,ประเทศเมียนมา,Myanmar,2,PHETCHABUN,8,2020-12-23,2670,
2021-05-09 17:02:53,3.5,15.966,95.01,715127,1766212,10,22,ประเทศเมียนมา,Myanmar,2,PHETCHABUN,8,2021-05-09,2807,
2022-02-18 09:25:12,1.8,16.129,100.945,707998,1784185,4,11,ต.ยางงาม อ.หนองไผ่ จ.เพชรบูรณ์,"Tambon Yang Ngam, Amphoe NongPhai, Phetchabun",1,PHETCHABUN,8,2022-02-18,3092,
2022-06-09 11:53:56,3.5,16.988,95.117,725397,1879444,10,20,ประเทศเมียนมา,Myanmar,2,PHETCHABUN,8,2022-06-09,3203,
2023-06-07 10:32:01,4.4,16.68,95.397,755636,1845691,10,19,ประเทศเมียนมา,Myanmar,3,PHETCHABUN,8,2023-06-07,3566,
