Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2010-04-26 14:39:00,4.5,19.48,94.83,692073,2154962,-,-,ประเทศพม่า,,3,PUA,9,2010-04-26,25,2010-04-01
2013-03-26 08:21:53,4.5,19.33,94.94,703809,2138484,-,9,ประเทศพม่า,Myanmar,3,PUA,9,2013-03-26,1090,
2013-04-26 03:01:01,4.1,19.34,94.9,699593,2139544,-,10,ประเทศพม่า,Myanmar,3,PUA,9,2013-04-26,1121,
2013-07-05 10:40:58,3.7,19.4,95.02,712126,2146329,-,15,ประเทศพม่า,Myanmar,2,PUA,9,2013-07-05,1191,
2015-04-21 06:17:07,2.2,19.46,100.89,698397,2152817,2,7,อ.ทุ่งช้าง จ.น่าน,"Amphoe Thung Chang,Nan",1,PUA,9,2015-04-21,1846,
2015-08-16 08:23:59,4.9,18.809,94.996,710351,2080875,277,11,ประเทศพม่า,Myanmar,3,PUA,9,2015-08-16,1963,
2016-05-16 13:38:43,3.9,19.21,94.72,680822,2124956,10,18,ประเทศพม่า,Myanmar,2,PUA,9,2016-05-16,2237,
2017-01-21 14:38:34,2.6,18.86,100.88,698062,2086387,2,7,อ.สันติสุข จ.น่าน,"Amphoe Santi Suk, Nan",1,PUA,9,2017-01-21,2487,
2017-10-03 15:20:08,3.6,19.06,94.93,703089,2108583,10,14,ประเทศพม่า,Myanmar,2,PUA,9,2017-10-03,2742,
2017-11-25 19:29:52,4.6,19.35,94.8,689074,2140539,10,18,ประเทศพม่า,Myanmar,3,PUA,9,2017-11-25,2795,
2018-06-27 22:46:08,4.0,18.77,94.97,707658,2076527,10,23,ประเทศพม่า,Myanmar,3,PUA,9,2018-06-27,3009,
2018-07-13 12:08:00,4.7,18.87,94.85,694889,2087461,10,26,ประเทศพม่า,Myanmar,3,PUA,9,2018-07-13,3025,
2018-12-29 11:21:54,2.4,19.59,100.97,706632,2167303,4,14,อ.เฉลิมพระเกียรติ จ.น่าน,"Amphoe ChaloemPhraKiat, Nan",1,PUA,9,2018-12-29,3194,
2019-04-17 17:50:00,3.1,19.524,100.955,705142,2159978,3.5,11,อ.ทุ่งช้าง จ.น่าน,"Amphoe ThungChang, Nan",2,PUA,9,2019-04-17,3303,
2019-11-26 11:05:56,5.6,19.163,94.929,702858,2119984,15,44,ประเทศพม่า,Myanmar,4,PUA,9,2019-11-26,3526,
2020-03-05 18:08:33,2.1,19.559,101.012,711079,2163922,1,12,อ.เฉลิมพระเกียรติ จ.น่าน,"Amphoe ChaloemPhraKiat, Nan",1,PUA,9,2020-03-05,3626,
2020-05-26 18:47:53,3.2,19.614,94.959,705447,2169946,10,12,ประเทศพม่า,Myanmar,2,PUA,9,2020-05-26,3708,
2022-03-24 13:21:59,3.7,19.005,94.838,693469,2102391,10,13,ประเทศเมียนมา,Myanmar,2,PUA,9,2022-03-24,4375,
2022-04-12 10:09:26,3.5,19.266,94.797,688855,2131237,10,7,ประเทศเมียนมา,Myanmar,2,PUA,9,2022-04-12,4394,
2022-04-29 01:26:10,3.7,19.177,94.764,685486,2121350,10,22,ประเทศเมียนมา,Myanmar,2,PUA,9,2022-04-29,4411,
2022-07-03 02:26:13,5.3,19.46,94.786,687477,2152700,10,39,ประเทศเมียนมา,Myanmar,4,PUA,9,2022-07-03,4476,
2022-12-28 22:02:04,3.3,18.6,94.944,705121,2057679,10,10,ประเทศเมียนมา,Myanmar,2,PUA,9,2022-12-28,4654,
2023-09-27 16:37:46,1.4,19.472,100.83,692083,2154077,3,12,ต.งอบ อ.ทุ่งช้าง จ.น่าน,"Tambon Ngob, Amphoe ThungChang, Nan",1,PUA,9,2023-09-27,4927,
2023-09-27 17:08:44,2.3,19.45,100.821,691164,2151631,3,17,ต.และ  อ.ทุ่งช้าง จ.น่าน,"Tambon Lae, Amphoe ThungChang, Nan",1,PUA,9,2023-09-27,4927,
